file_name,text,id
sunset_01.jpg,"Photo of a circular building silhouetted against a vibrant sunset, with warm orange hues reflected in calm waters.",01
sunset_02.jpg,"Photo of a modern bedroom interior with warm lighting, highlighting the wooden textures and minimalist furniture, bathed in soft sunset light.",02
sunset_03.jpg,"Photo of an architectural complex featuring stepped terraces with greenery, highlighting the unique design and structural elements in black and white.",03
sunset_04.jpg,"Photo of a circular building by the water at twilight, with a person seated on a curved bench, surrounded by tranquil reflections and soft lighting.",04
sunset_05.jpg,"Photo of a curved building at dawn, reflected on still water with lily pads and soft lighting casting long shadows over the tranquil scene.",05
sunset_06.jpg,"Photo of a futuristic skyscraper at sunset, with illuminated terraces and greenery, standing out against the city skyline.",06
sunset_07.jpg,"Photo of a city skyline at sunset, with skyscrapers reflecting warm golden light and creating a striking contrast against the darkening sky.",07
sunset_08.jpg,"Photo of a fisherman casting a net at sunset, with a towering modern building in the background, silhouetted against the golden sky.",08
sunset_09.jpg,"Photo of a modern, boxy building reflecting golden light on a river at dusk, with dramatic cloudy skies overhead.",09
sunset_10.jpg,"Photo of a modern illuminated building against a dramatic sunset sky, with urban lights casting a warm glow on the surrounding landscape.",10
sunset_11.jpg,"Photo of a city skyline at sunset, with silhouetted buildings and the soft glow of the sun illuminating the structures and mountains in the distance.",11
sunset_12.jpg,"Photo of a cluster of industrial-style buildings emerging from the mist, captured in black and white, surrounded by trees.",12
sunset_13.jpg,"Photo of snow-covered industrial buildings beside a river at sunset, with soft light illuminating the mountains and mist rising from the rooftops.",13
sunset_14.jpg,"Photo of a sunset framed by a modern bridge, with the sun positioned between the bridge supports and reflecting on the water below.",14
sunset_15.jpg,"Photo of a dramatic architectural silhouette against a warm sunset sky, with birds flying overhead and the building's flowing curves catching the light.",15
sunset_16.jpg,"Photo of a striking modern structure against a vibrant orange sunset, with birds flying across the sky and the sun dipping below the horizon.",16
sunset_17.jpg,"Photo of a unique architectural bridge at sunset, with people walking along its edge, reflecting warm light on the sleek surface.",17
sunset_18.jpg,"Photo of a silhouette of a tree with a bird perched on it, set against a vibrant sunset sky and dramatic clouds.",18
sunset_19.jpg,"Photo of a snowy landscape with a modern architectural structure, set against the backdrop of a rising moon and dramatic mountain peaks.",19
sunset_20.jpg,"Photo of a marina at sunset, with yachts and boats silhouetted against the glowing orange sky, reflecting on the calm water.",20
sunset_21.jpg,"Photo of a sweeping, curved building complex at sunset, with the sun dipping below the horizon, casting warm hues across the landscape.",21
sunset_22.jpg,"Photo of a group of people silhouetted inside a curved architectural structure, with the setting sun casting a vibrant pink hue over the scene.",22
sunset_23.jpg,"Photo of a building silhouette against a vibrant red sunset, with the sun setting behind the structure and casting dramatic colors across the landscape.",23
sunset_24.jpg,"Photo of a modern residential street at sunset, with palm trees casting long shadows and the warm light illuminating sleek, contemporary buildings.",24
sunset_25.jpg,"Photo of a modern building with green roofs reflecting the soft light of a sunset, surrounded by water and a bird walking along the shoreline.",25
sunset_26.jpg,"Photo of a minimalist interior with wooden walls and a skylight, casting soft light across the floor and a small collection of books.",26
sunset_27.jpg,"Photo of horseback riders and a dog in a vast grassy field at sunset, with a modern building in the distance under a warm, pastel-colored sky.",27
sunset_28.jpg,"Photo of modern architectural pavilions bathed in warm sunset light, with golden hues reflecting off the wooden frames. Soft shadows stretch across the steps, creating a serene atmosphere. A person stands in the foreground, enjoying the tranquil scene.",28
sunset_29.jpg,"Photo of modern skyscrapers with colorful reflections during the golden hour, set against a mountainous backdrop and a vibrant cityscape.",29
sunset_30.jpg,"Photo of a unique architectural structure resembling a flower, silhouetted against a vibrant orange sunset with palm trees and cars in the foreground.",30
sunset_31.jpg,"Photo of the full moon against a deep blue sky, with the silhouette of a unique architectural structure in the foreground.",31
sunset_32.jpg,"Photo of a futuristic architectural structure silhouetted against a vibrant orange sunset, with an airplane flying in the distance above a line of parked cars.",32
sunset_33.jpg,"Photo of a surreal architectural tower set against a warm, golden sunset, with trees growing atop the structure and the sun casting a soft glow over the surrounding landscape.",33
sunset_34.jpg,"Photo of a modern house perched on a hill, silhouetted against a vibrant orange sunset, with a person standing near the window, watching the sun as birds fly across the sky.",34
sunset_35.jpg,"Photo of a modern building silhouette against a vibrant orange sunset, with a person standing on the rooftop, framed by the setting sun and flying birds in the background.",35
sunset_36.jpg,"Photo of a futuristic building silhouette at sunset, with a hovering helicopter and the vibrant orange sky reflecting off the water, creating a dramatic urban landscape.",36
